Series Number,Filename,Description,Gender,UUID,Hash,sha256 of json
1,adewale-the-amebo,Adewale always wants to be in everyone's business.,male,cad316c3-37f8-4b27-9f53-9d803bfcfee7,E71B82700FFE4103D1AD92D1F4D92598945A480ABD0526D0110381362F8B3FAC,cfda641619962b760b53d997aedc26ca9d827c0ddbfb41a59f4ea4e55a48941e
2,alli-the-queeny,Alli is an LGBT Stan.,male,a57ecda4-a26f-4e97-a757-e1800af39aab,E1ECE1FFACC43C3A856DE6D02185DC046518EE91D7AB934D9AD4051A698046E2,a8d367509a5fee9c21f949f69cc772ed7c7e0bbb4b1db6a5a6bb57d3cb9433c2
3,aminat-the-snnobish,Aminat never really wants to talk to anyone.,female,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,02E9B48FA830E813FDBA85F7F3C9B6A2E2122BD5556195B38B6D3E529210DAD6,83b37ae6680378579d15a0d3a901d8d37b66d7a2f5c7a85f7426fded3b72e368
4,aminu-the-carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,4f30b751-96e7-40fe-97fd-e3d44973ff2f,CC58CCBBE5CDDD21A43DC9725920280A02C319C8EE36B9A4F1895C4BCBF412E0,07b53eee63fba80107d64d3ecadc610e05cf09948342a9fdc54a438eef746e17
5,chibuike-the-kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,2E5CD9BB363412B684A2B600B481B44C85781D976FC9DAE17E3CEF26D71E5CB5,e43a3d36771cf5fe41103ffcbafab80fd0f1bcbd307087d1a46c9b2ba15c9c90
6,chidinma-the-model,"From Paris' runways, to London's streets, she's always in demand.",female,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,2C2515DAB62937727F059931E64CBB23C220B4F8B1C4B2450C11AA60F78F80A0,56c02c8962a9eeb082cae417e54e9dba37407e9c13580f7185d5567af702c4c9
7,chioma-pretty- girl,Chioma's face card is a 100.,female,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,1AB4B7688AB80E96C4626A36F8E6CC639CA4A41C4F7ADB2AA78254E7810202F3,211fd4ae48a858416122e88d15426a4a69da7eb418a90c1b55ca66dba917cf83
8,damilare-the-handsome,He's a fine boy. Everyone loves his face(and him).,male,27eca2dc-d7df-474a-8f8f-1858152c711e,0173484DE80338CA9820C30BD58FF7D5F103D1EB7E9D39E2675F582B01747FEB,0d94113e7e8eec1f668ef6dfd55f566c9c8b80f3833b644812e22f9acc327614
9,ebiowie-the-planter,Ebiowei has a reputation for nurturing plants.,male,f1df8270-4d60-4bd4-8959-ba7c384db5c4,CCC0A76A71E4507C7A36C20E9848CD4E0EAD681D75BAB9798FE68D1062304216,5cab422bd4e1254f4e23cd92e8485069baa1409fe1935cfd3b3f499e34f77ad9
10,emeka-the-businessman,Emeka only cares about containers. No time to waste.,male,9b3d75da-4887-4089-aee4-50de3954fdc9,6BB4AD3EF4D1B17FF5D11D0E142A4DAD1A30BB2F14728747FE87019F2073ED9B,89173ff62301cf2f186d2e5bdfee44eaca3a434fd06b513eed636e26db6d89ae
11,gbeminyi-the-monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,B819ACA9F1872B50B29ACA04A55EE45CA8CE7A65744A4C641106BA73A209C1B8,1f8b904feb7a5e6778a3ebff9bbc4ddaba4cf4b77560721badd7a830577dece0
12,henry-the-sportsman,He's played every sport known to man. Even cricket.,male,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,25149DC0C48FE50E18291449491DC02428E9EBF86E018B00547469B6B2B747A4,1bf8e3d429e964656c4c04248e2de43bc313502531d161d5db1490fd12c2ae4d
13,mayowa-the-smallie,Mayowa is so small but everyone loves him even still.,male,dfbb4163-df24-4d54-b74c-6218a68df8bd,219E3A694AE8B482E274373E106021EBA20953CEE7EE4A1D770BA10918CC2654,d2c30500e2045939a532e81b09846c1fa0cd2744b45ce83b215a33c422b0416e
14,muyiwa-the-stylish,Muyiwa has a motto which is never to be caught unfresh.,male,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,E06BC9AEA874F64C8641C523799C941F88E50BC1F6BB07762B4DC874F5E9EDE9,f6942b60fe37493122e9c2eff80f3320db13bf34ebb74eab1ca08f8fa2fe4865
15,nina-paper-chaser,Nina na Igbo girl wey like money. Finish.,female,59524227-dc52-407c-8cca-e9e8c5fb3018,ABB924A69C9C5FC50F87EE8A164528273B0D118562F3E598570A48EF03013D42,0563ad601853a7cbad7a79826b0cb5e31ea14895b3bf15a23fd78983401b3b01
16,oluwaseun-spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,808f7007-6552-4efa-bd13-4b7c337b102b,C74D54554BF05F317597444B4532A543853B6E52304D5916DE666158101842FF,197a005a999c49e48e852025d565751053d69eb25fbe854014a8a68879d7744a
17,sesan-the-smartie,Sesan always comes first in competitions.,male,ba3edda7-8940-4ca4-97ba-826398d5909f,3B476F74BBC12CED2CDE94C64BC496F1281EDEE22C7AA20F91486C7331889F65,d3b5e06dadae8c234a0b4a8e16ecef33aa4aba18402a46385011ed2ee195d262
18,tiwa-london,"If she says she's in London and you see her, you're in London too.",female,78da7aeb-8352-4e25-89ac-dc48b5984089,B9CAD7B34CB93D492D25BF876961EE567174A6F70956D59774329390F649ECFB,56f950c6935dd876c53e50e570beb88a83e2d091852cec773a2394c71b68078e
19,tunde-yoruba-demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,53b46bd7-a537-402b-b249-0b4074a8faae,854D09E68EB01D88A203C46303B0D3A301F632EE256EAF4406F4C560F30EF3F2,a6769640dde62c3766233cb7c258d0a7a224b7cdee947daf46dc4431165b73c7
20,yakubu-the-zombie,Yakubu earned his zombie title because na only dust full him head.,male,4adb6781-1614-424e-8f77-fe59ffca2209,4727313C67B7FDD62415E4309A4118677C24DDA85F47D0D067F674D5B84367A5,3f2a604dddc7197cb95eb1bb8dd7379c8fad10aeecee0e72deeb7f3fd58e33af
